Date,Open,High,Low,Close,Volume,AdjustedClose
20140210,8750.000,8800.000,8675.000,8700.000,31224900,1697.542
20140211,8800.000,8850.000,8750.000,8800.000,31176300,1717.054
20140212,8900.000,8950.000,8675.000,8675.000,34027400,1692.664
20140213,8650.000,8750.000,8650.000,8700.000,24312200,1697.542
20140214,8700.000,8750.000,8675.000,8725.000,51366200,1702.420
20140217,8800.000,9000.000,8800.000,8950.000,89440100,1746.322
20140218,8950.000,9000.000,8925.000,9000.000,34843900,1756.078
20140219,9000.000,9450.000,9000.000,9375.000,92605300,1829.247
20140220,9375.000,9650.000,9375.000,9550.000,67226200,1863.393
20140221,9625.000,9700.000,9575.000,9650.000,51415800,1882.905
20140224,9725.000,9850.000,9650.000,9650.000,45729500,1882.905
20140225,9650.000,9700.000,9350.000,9425.000,46392800,1839.004
20140226,9300.000,9450.000,9125.000,9425.000,68082600,1839.004
20140227,9400.000,9400.000,9175.000,9200.000,25601500,1795.102
20140228,9225.000,9275.000,9150.000,9275.000,28659900,1809.736
20140303,9250.000,9275.000,9075.000,9250.000,30419800,1804.858
20140304,9250.000,9300.000,9150.000,9150.000,27671600,1785.346
20140305,9250.000,9300.000,9200.000,9275.000,47597100,1809.736
20140306,9300.000,9525.000,9275.000,9525.000,57755900,1858.515
20140307,9500.000,9500.000,9225.000,9250.000,31414000,1804.858
20140310,9150.000,9225.000,9025.000,9075.000,40890900,1770.712
20140311,9050.000,9250.000,9050.000,9225.000,24249400,1799.980
20140312,9175.000,9225.000,9125.000,9150.000,21736200,1785.346
20140313,9225.000,9325.000,9175.000,9325.000,28573800,1819.492
20140314,9150.000,10500.000,9150.000,10300.000,83754200,2009.733
20140317,10300.000,10300.000,9750.000,10000.000,67764500,1951.197
20140318,10000.000,10025.000,9700.000,9700.000,48209600,1892.661
20140319,9800.000,9900.000,9725.000,9825.000,25469900,1917.051
20140320,9800.000,9800.000,9500.000,9550.000,36527300,1863.393
20140321,9550.000,9625.000,9275.000,9300.000,63335400,1814.613
20140324,9400.000,9450.000,9325.000,9425.000,33856100,1839.004
20140325,9375.000,9575.000,9375.000,9525.000,34456100,1858.515
20140326,9525.000,9600.000,9450.000,9450.000,32469000,1843.881
20140327,9500.000,9525.000,9450.000,9450.000,32517600,1843.881
20140328,9500.000,9625.000,9475.000,9575.000,34719800,1868.272
20140401,9750.000,10000.000,9700.000,10000.000,60943400,1951.197
20140402,9900.000,10075.000,9850.000,10000.000,31203900,1951.197
20140403,9950.000,10100.000,9950.000,10100.000,24727000,1970.709
20140404,10100.000,10125.000,9825.000,9950.000,24647500,1941.441
20140407,9900.000,10075.000,9850.000,10025.000,42746700,1956.075
20140408,10075.000,10200.000,10050.000,10175.000,56759700,1985.343
20140410,9800.000,9800.000,9425.000,9425.000,132809400,1839.004
20140411,9375.000,9650.000,9350.000,9550.000,46787500,1863.393
20140414,9550.000,9775.000,9550.000,9775.000,36093000,1907.295
20140415,9850.000,9925.000,9850.000,9850.000,32487300,1921.929
20140416,9925.000,9975.000,9900.000,9950.000,16620400,1941.441
20140417,10000.000,10025.000,9875.000,10000.000,15411900,1951.197
20140421,10050.000,10050.000,9950.000,10050.000,18629000,1960.953
20140422,10100.000,10200.000,10025.000,10200.000,28410800,1990.221
20140423,10200.000,10250.000,9975.000,10025.000,20487500,1956.075
20140424,10200.000,10250.000,10000.000,10050.000,34941300,1960.953
20140425,10000.000,10100.000,9975.000,10000.000,30257400,1951.197
20140428,10050.000,10100.000,9775.000,9825.000,38634100,1917.051
20140429,9675.000,9800.000,9625.000,9775.000,23276000,1907.295
20140430,9875.000,10000.000,9850.000,9900.000,37901600,1931.685
20140502,10000.000,10075.000,9950.000,10050.000,28295400,1960.953
20140505,10025.000,10100.000,9950.000,10075.000,14177700,1965.831
20140506,9950.000,10075.000,9950.000,10025.000,6693100,1956.075
20140507,10050.000,10175.000,9975.000,10175.000,33920400,1985.343
20140508,10200.000,10250.000,10050.000,10075.000,16312700,1965.831
20140509,10175.000,10175.000,10000.000,10125.000,17311100,1975.587
20140512,10150.000,10200.000,10075.000,10075.000,1811180,1965.831
20140513,10175.000,10175.000,9975.000,10050.000,1990740,1960.953
20140514,10100.000,10575.000,10075.000,10575.000,4811260,2063.391
20140516,10725.000,10900.000,10600.000,10775.000,4504510,2102.415
20140519,10975.000,11050.000,10650.000,10975.000,3569650,2141.439
20140520,10850.000,10850.000,10425.000,10550.000,4079660,2058.513
20140521,10450.000,10625.000,10375.000,10475.000,2064680,2043.879
20140522,10575.000,10875.000,10550.000,10800.000,2895460,2107.293
20140523,10800.000,10900.000,10775.000,10825.000,1338150,2112.171
20140526,10900.000,10925.000,10625.000,10675.000,1312820,2082.903
20140528,10600.000,10725.000,10575.000,10700.000,2101800,2087.781
20140530,10775.000,10900.000,10200.000,10200.000,5728050,1990.221
20140602,10400.000,10400.000,10250.000,10300.000,2985450,2009.733
20140603,10350.000,10375.000,10250.000,10350.000,2107780,2019.489
20140604,10300.000,10350.000,10200.000,10275.000,2922490,2004.855
20140605,10225.000,10225.000,10000.000,10150.000,3353780,1980.465
20140606,10050.000,10150.000,10025.000,10075.000,3786760,1965.831
20140609,10075.000,10100.000,9875.000,9875.000,4701950,1926.807
20140610,9950.000,10225.000,9950.000,10225.000,4717900,1995.099
20140611,10200.000,10275.000,10100.000,10275.000,2550540,2004.855
20140612,10275.000,10275.000,10050.000,10150.000,2254600,1980.465
20140613,10150.000,10200.000,10100.000,10175.000,1261460,1985.343
20140616,10200.000,10200.000,10025.000,10150.000,1758000,1980.465
20140617,10200.000,10200.000,10075.000,10175.000,1603350,1985.343
20140618,10150.000,10175.000,10050.000,10100.000,1754800,1970.709
20140619,10125.000,10150.000,10025.000,10050.000,1574800,1960.953
20140620,10200.000,10250.000,10000.000,10000.000,2397300,1951.197
20140623,10050.000,10125.000,9925.000,9925.000,3374440,1936.563
20140624,9875.000,10050.000,9850.000,10000.000,2372990,1951.197
20140625,9975.000,10125.000,9975.000,10075.000,2693220,1965.831
20140626,10150.000,10150.000,10025.000,10050.000,3486630,1960.953
20140627,10000.000,10125.000,10000.000,10100.000,2220510,1970.709
20140630,10100.000,10325.000,10100.000,10325.000,3674390,2014.611
20140701,10325.000,10375.000,10250.000,10375.000,1619830,2024.367
20140702,10400.000,10425.000,10250.000,10300.000,1299710,2009.733
20140703,10275.000,10325.000,10175.000,10175.000,38525700,1985.343
20140704,10100.000,10300.000,10100.000,10200.000,16758400,1990.221
20140707,10400.000,10575.000,10325.000,10550.000,53675200,2058.513
20140708,10850.000,11450.000,10850.000,11175.000,64380500,2180.463
20140710,12000.000,12200.000,11500.000,11675.000,100783900,2278.023
20140711,11500.000,11600.000,11250.000,11500.000,46914900,2243.877
20140714,11500.000,11500.000,11150.000,11375.000,43436100,2219.487
20140715,11400.000,11600.000,11375.000,11600.000,24868100,2263.389
20140716,11575.000,11775.000,11400.000,11400.000,34715500,2224.365
20140717,11450.000,11550.000,11300.000,11425.000,27161000,2229.243
20140718,11350.000,11575.000,11350.000,11575.000,15930900,2258.511
20140721,11675.000,11800.000,11575.000,11700.000,35063600,2282.901
20140722,11700.000,11800.000,11325.000,11425.000,61241700,2229.243
20140723,11500.000,11625.000,11375.000,11400.000,41250700,2224.365
20140724,11400.000,11550.000,11250.000,11375.000,44745500,2219.487
20140725,11475.000,11475.000,11200.000,11200.000,32425200,2185.341
20140804,11375.000,11375.000,10750.000,10975.000,80493900,2141.439
20140805,10975.000,10975.000,10775.000,10825.000,44523000,2112.171
20140806,10700.000,10725.000,10600.000,10625.000,44237600,2073.147
20140807,10625.000,10825.000,10600.000,10800.000,32196500,2107.293
20140808,10800.000,10800.000,10675.000,10750.000,22056200,2097.537
20140811,10875.000,10950.000,10825.000,10925.000,28540700,2131.683
20140812,10925.000,11050.000,10850.000,10900.000,17307500,2126.805
20140813,10925.000,10925.000,10800.000,10925.000,26166900,2131.683
20140814,10925.000,10925.000,10800.000,10825.000,28476000,2112.171
20140815,10800.000,10850.000,10750.000,10750.000,28165600,2097.537
20140818,10750.000,10850.000,10725.000,10800.000,26091200,2107.293
20140819,10900.000,10925.000,10825.000,10850.000,43745400,2117.049
20140820,10900.000,11050.000,10875.000,11025.000,44262200,2151.195
20140821,11100.000,11200.000,10975.000,11200.000,39966400,2185.341
20140822,11200.000,11300.000,11125.000,11275.000,30188800,2199.975
20140825,11275.000,11325.000,11175.000,11300.000,19455200,2204.853
20140826,11175.000,11275.000,11075.000,11075.000,35824500,2160.951
20140827,11100.000,11175.000,11075.000,11125.000,16967100,2170.707
20140828,11175.000,11175.000,11100.000,11100.000,14175800,2165.829
20140829,11150.000,11150.000,11025.000,11050.000,19624400,2156.073
20140901,11125.000,11125.000,11000.000,11050.000,5521600,2156.073
20140902,11025.000,11150.000,11025.000,11100.000,11985700,2165.829
20140903,11150.000,11175.000,11075.000,11125.000,14994100,2170.707
20140904,11100.000,11175.000,11050.000,11050.000,17284400,2156.073
20140905,11150.000,11150.000,10900.000,10950.000,29562300,2136.561
20140908,10975.000,11050.000,10950.000,10950.000,32512900,2136.561
20140909,10900.000,10950.000,10800.000,10825.000,37277300,2112.171
20140910,10850.000,10850.000,10675.000,10750.000,30062300,2097.537
20140911,10825.000,10875.000,10725.000,10725.000,22530400,2092.659
20140912,10700.000,10725.000,10500.000,10575.000,41220900,2063.391
20140915,10300.000,10500.000,10300.000,10425.000,39413900,2034.123
20140916,10450.000,10500.000,10300.000,10325.000,40868800,2014.611
20140917,10425.000,10450.000,10350.000,10400.000,37328900,2029.245
20140918,10350.000,10600.000,10350.000,10500.000,37424000,2048.757
20140919,10600.000,10950.000,10575.000,10800.000,40526900,2107.293
20140922,10800.000,10875.000,10700.000,10800.000,20749400,2107.293
20140923,10750.000,10800.000,10625.000,10650.000,25009400,2078.025
20140924,10650.000,10700.000,10600.000,10600.000,14616900,2068.269
20140925,10750.000,10825.000,10650.000,10775.000,23224300,2102.415
